q,trait,reverse
אני מרגיש בנוח להנחות ישיבות צוות מורכבות.,Extraversion,FALSE
"אני תמיד האדם שמציע ""לפתוח קבוצת וואטסאפ"" לתיאום.",Extraversion,FALSE
אני נהנה לדבר עם אנשים זרים בזמן המתנה בתור.,Extraversion,FALSE
אני תמיד משתף את החוויות שלי ברשתות החברתיות.,Extraversion,FALSE
אני מרגיש מלא חיים כשאני נמצא במרכז רחבה רוקדת.,Extraversion,FALSE
אני נוטה ליזום שיחות טלפון עם חברים רחוקים.,Extraversion,FALSE
אני תמיד מנסה להרחיב את המעגל החברתי שלי בעבודה.,Extraversion,FALSE
אני מרגיש בנוח לבקש הנחה או הטבה כשאני קונה משהו.,Extraversion,FALSE
אני נהנה להיות זה שמספר את הבדיחות בחבורה.,Extraversion,FALSE
אני תמיד מעדיף פגישות פנים אל פנים על פני התכתבות.,Extraversion,FALSE
"אני לעולם לא אעתיק במבחן, גם אם אין שום סיכוי שייתפסו אותי.",Honesty-Humility,FALSE
אני מרגיש לא בנוח כשמשבחים אותי יותר מדי.,Honesty-Humility,FALSE
"אני תמיד מחזיר עודף שקיבלתי בטעות, גם אם הוא קטן.",Honesty-Humility,FALSE
אני לעולם לא אשתמש בקשרים אישיים כדי לקבל יחס מועדף.,Honesty-Humility,FALSE
"אני חושב שכל האנשים שווים, ללא קשר לתפקידם או עושרם.",Honesty-Humility,FALSE
אני תמיד מודה בטעותי מיד כשאני מגלה אותה.,Honesty-Humility,FALSE
אני לעולם לא אפיץ שמועה על מישהו כדי לפגוע בו.,Honesty-Humility,FALSE
אני מרגיש שאין לי צורך להפגין את העושר שלי מול אחרים.,Honesty-Humility,FALSE
אני תמיד משתדל להיות ישר עם הממונים עלי לגבי הקשיים שלי.,Honesty-Humility,FALSE
"אני לעולם לא אקח משהו שלא שייך לי, גם אם הוא נראה נטוש.",Honesty-Humility,FALSE
אני תמיד מנסה להרגיע רוחות כשיש מתח בצוות הרפואי.,Agreeableness,FALSE
אני נוטה להחמיא לקולגות שלי על הצלחות מקצועיות.,Agreeableness,FALSE
קל לי מאוד להבין מטופלים שמתנהגים בתוקפנות מתוך כאב.,Agreeableness,FALSE
אני תמיד משתדל להיות האדם שיוצר אווירה נעימה במשמרת.,Agreeableness,FALSE
אני נוטה לסלוח מהר גם לאנשים שהפגינו כלפיי חוסר מקצועיות.,Agreeableness,FALSE
"אני תמיד מקשיב בסבלנות לכל טענה, גם אם היא נשמעת לי לא הגיונית.",Agreeableness,FALSE
אני מעדיף לעבוד בשיתוף פעולה מלא מאשר לנסות להוכיח שאני טוב יותר.,Agreeableness,FALSE
אני מרגיש סיפוק כשאני מצליח למנוע ויכוח מיותר בין חברים.,Agreeableness,FALSE
"אני תמיד משתדל לדבר בשפה מכבדת, גם עם אנשים שלא מכבדים אותי.",Agreeableness,FALSE
אני נוטה להבליג על טעויות קטנות של אחרים כדי לא לפגוע בביטחונם.,Agreeableness,FALSE
אני תמיד מוכן להתפשר על הנוחות שלי למען הצלחת הטיפול הקבוצתי.,Agreeableness,FALSE
אני מרגיש רע אם אני נאלץ להעיר למישהו על תפקודו.,Agreeableness,FALSE
אני תמיד מחפש את הדרך העדינה ביותר לבשר בשורה לא נעימה.,Agreeableness,FALSE
אני נוטה לתת אמון מלא באנשים שעובדים איתי עד שיוכח אחרת.,Agreeableness,FALSE
אני תמיד משתדל להיות זה שמחייך ראשון בבוקר לקולגות.,Agreeableness,FALSE
אני מעדיף להימנע מעימותים ישירים בכל מחיר.,Agreeableness,FALSE
אני מרגיש שלכל אדם מגיעה הזדמנות להסביר את עצמו.,Agreeableness,FALSE
אני תמיד מוודא שכל המכשור הרפואי כויל בדיוק לפי ההוראות.,Conscientiousness,FALSE
אני מקפיד לעבור על כל התיק הרפואי של המטופל לפני הפגישה.,Conscientiousness,FALSE
אני נוטה לסיים את כל הדיווחים שלי עוד לפני שהמשמרת נגמרת.,Conscientiousness,FALSE
אני תמיד בודק שוב את האבחנה שלי אם יש לי ספק ולו הקטן ביותר.,Conscientiousness,FALSE
אני מקפיד על סדר מופתי בתיק המקצועי ובשולחן העבודה שלי.,Conscientiousness,FALSE
אני נוטה לתכנן את זמני המנוחה שלי בדיוק כמו את זמני העבודה.,Conscientiousness,FALSE
אני תמיד מוודא שכל המטלות שקיבלתי בוצעו עד הפרט האחרון.,Conscientiousness,FALSE
אני מקפיד להתעדכן בנהלים החדשים של משרד הבריאות מדי שבוע.,Conscientiousness,FALSE
אני נוטה להכין רשימת ציוד מפורטת לפני כל הליך רפואי.,Conscientiousness,FALSE
אני תמיד מוודא שכל המדדים נרשמו בדיוק בזמן אמת.,Conscientiousness,FALSE
אני מקפיד על הופעה חיצונית מסודרת ומקצועית בכל יום עבודה.,Conscientiousness,FALSE
אני נוטה לבדוק את תקינות המלאי במחלקה גם כשזה לא תפקידי.,Conscientiousness,FALSE
אני תמיד מקפיד על הגעה לפגישות 5 דקות לפני הזמן.,Conscientiousness,FALSE
אני נוטה לעקוב אחרי מצב המטופלים שלי גם בימי החופש שלי.,Conscientiousness,FALSE
אני תמיד מוודא שהסביבה הסטרילית נשמרת בקפדנות יתרה.,Conscientiousness,FALSE
אני מקפיד לבצע רישום מדויק של כל חומר רפואי בו השתמשתי.,Conscientiousness,FALSE
אני תמיד בודק שסיכום המחלה כתוב בכתב ברור וקריא לכולם.,Conscientiousness,FALSE
אני מרגיש בנוח לנהל שיחות הסברה מול קהל רחב של מטופלים.,Extraversion,FALSE
אני תמיד האדם הראשון שמציע פתרונות בסיעור מוחות קבוצתי.,Extraversion,FALSE
אני נהנה לייצג את המחלקה שלי בכנסים ואירועים מקצועיים.,Extraversion,FALSE
אני מרגיש מלא מרץ כשאני צריך לעבוד בצוות גדול ותוסס.,Extraversion,FALSE
אני נוטה ליזום שיתופי פעולה עם מחלקות אחרות בבית החולים.,Extraversion,FALSE
אני תמיד מרגיש בטוח ביכולת שלי לשכנע אחרים בצדקת דרכי.,Extraversion,FALSE
אני נהנה להיות זה שמדריך את הסטודנטים החדשים במחלקה.,Extraversion,FALSE
אני מרגיש בנוח להתעמת עם דמויות סמכותיות כשזה לטובת המטופל.,Extraversion,FALSE
אני תמיד מנסה להכניס אנרגיה חיובית לחדר האוכל של הצוות.,Extraversion,FALSE
אני נוטה להיות פעיל מאוד בדיוני קבוצת הוואטסאפ המקצועית.,Extraversion,FALSE
אני מרגיש סיפוק כשאני נבחר להוביל פרויקט מחלקתי חדש.,Extraversion,FALSE
אני נהנה לשאת דברים באירועים חברתיים של הצוות הרפואי.,Extraversion,FALSE
אני תמיד מוצא נושאי שיחה משותפים עם כל אדם שאני פוגש.,Extraversion,FALSE
אני מרגיש בנוח להציג שאלות קשות במהלך הרצאות מקצועיות.,Extraversion,FALSE
אני נהנה להשתתף בראיונות עבודה או ועדות קבלה.,Extraversion,FALSE
אני תמיד משתדל להיות האדם הכי מעורב בשיחות המסדרון.,Extraversion,FALSE
אני מרגיש מלא חיים כשאני נמצא בתנאי עבודה דינמיים ומשתנים.,Extraversion,FALSE
אני נוטה להציע רעיונות לשיפור הגיבוש החברתי בצוות.,Extraversion,FALSE
אני מרגיש בנוח לדבר על ההצלחות שלי מבלי להרגיש מובך.,Extraversion,FALSE
אני נהנה להיות האדם שמקבל את פני המטופלים החדשים.,Extraversion,FALSE
אני תמיד מנסה להפוך את המשמרת ליותר מעניינת עבור כולם.,Extraversion,FALSE
אני מרגיש בטוח ביכולת שלי להרגיע מטופל לחוץ רק בעזרת שיחה.,Extraversion,FALSE
אני נוטה ליזום מפגשים מקצועיים להחלפת ידע עם קולגות.,Extraversion,FALSE
אני נהנה להיות בחברת אנשים שמאתגרים אותי חברתית.,Extraversion,FALSE
אני תמיד משתדל להיות גלוי לב לגבי חוסר הידע שלי בנושא מסוים.,Honesty-Humility,FALSE
אני לעולם לא אקבל קרדיט על עבודה שסטודנט שלי ביצע.,Honesty-Humility,FALSE
"אני מרגיש שכל חבר בצוות, מהמנקה ועד המנהל, ראוי לאותו כבוד.",Honesty-Humility,FALSE
אני תמיד מעדיף לומר את האמת הקשה מאשר להבטיח הבטחות שווא.,Honesty-Humility,FALSE
אני לעולם לא אשתמש בציוד של בית החולים לצרכיי הפרטיים.,Honesty-Humility,FALSE
אני מרגיש שאין לי צורך להוכיח לאף אחד שאני חכם יותר ממנו.,Honesty-Humility,FALSE
"אני תמיד מדווח על טעות שעשיתי, גם אם היא לא גרמה נזק.",Honesty-Humility,FALSE
אני לעולם לא אבקש יחס מועדף בגלל התואר או התפקיד שלי.,Honesty-Humility,FALSE
אני מרגיש סיפוק כשאני מצליח לעזור למישהו מבלי שהוא יידע שזה אני.,Honesty-Humility,FALSE
אני תמיד מוכן ללמוד מאנשים שצעירים ממני או פחות מנוסים ממני.,Honesty-Humility,FALSE
אני לעולם לא אציג נתונים מחקריים בצורה מטעה כדי להוכיח טענה.,Honesty-Humility,FALSE
אני מרגיש שמחובתי להתנצל בפני מטופל אם גרמתי לו להמתין יותר מדי.,Honesty-Humility,FALSE
אני לעולם לא אקבל מתנה ממטופל שעשויה להשפיע על שיקול דעתי.,Honesty-Humility,FALSE
אני מרגיש שצניעות היא הבסיס ללמידה אמיתית לאורך כל החיים.,Honesty-Humility,FALSE
אני תמיד מקפיד לתת קרדיט מלא לכל מי שעזר לי במחקר או בטיפול.,Honesty-Humility,FALSE
אני לעולם לא אשתמש במידע אישי של קולגה כדי לקדם את מעמדי.,Honesty-Humility,FALSE
אני מרגיש שכל הצלחה שלי היא תוצאה של עבודת צוות ולא רק שלי.,Honesty-Humility,FALSE
אני תמיד משתדל להיות כנה לגבי מגבלות הזמן שלי מול המטופלים.,Honesty-Humility,FALSE
אני לעולם לא אעלים עין מהתנהגות לא אתית של חבר לצוות.,Honesty-Humility,FALSE
אני מרגיש נוח להודות בפני המטופל שאין לי תשובה כרגע.,Honesty-Humility,FALSE
אני תמיד מעדיף לשמור על פרופיל נמוך גם כשאני זוכה לשבחים.,Honesty-Humility,FALSE
אני לעולם לא אטען למומחיות בתחום שאינני שולט בו ב-100%.,Honesty-Humility,FALSE
אני מרגיש שהחובה המוסרית שלי היא לשים את טובת האחר לפני טובתי.,Honesty-Humility,FALSE
"אני תמיד משתדל לסיים שיחות ברוח טובה, גם אם לא הסכמנו.",Agreeableness,FALSE
אני מקפיד לבדוק את תוקף הרישיון והביטוח שלי חודש מראש.,Conscientiousness,FALSE
אני נהנה להוביל יוזמות חברתיות חדשות בשכונה או במקום המגורים.,Extraversion,FALSE
אני לעולם לא אנסה להרשים אחרים על ידי המצאת סיפורים שלא קרו.,Honesty-Humility,FALSE
"אני מרגיש שכל אדם, ללא קשר לעושרו, ראוי לאותו זמן תשומת לב ממני.",Honesty-Humility,FALSE
אני תמיד מעדיף לחלוק בקרדיט על הצלחה מאשר לקחת אותו לעצמי.,Honesty-Humility,FALSE
אני לעולם לא אשתמש במידע אישי שגיליתי על מטופל לצרכים חברתיים.,Honesty-Humility,FALSE
אני מאמין שיושרה פנימית היא המצפן הכי חשוב של רופא במצבי לחץ.,Honesty-Humility,FALSE
